trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-79.41253892183155,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-109.55342039163325,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-84.90878530213719,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-187.43599092783265,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-142.26092438530102,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-77.86773951438664,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-95.37650289529999,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-98.74943917018727,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-47.28740666278474,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-5.69618482103502,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-95.72020062714985,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,10,-44.05782303741317,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-143.9205224756009,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,6,3.7686961555457734,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-30.837099412766207,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,4,-20.79333895511468,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-70.42460475632441,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-53.2451081946626,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-41.141774378889366,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-31.938533753803103,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-44.835735009207866,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-96.05244579752106,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,6,-14.198934409637772,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-170.96140121953175,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",35,24,-24.064180171873428,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,8,-92.82752152565917,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",25,0,-29.849472918734364,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,14,-7.878922667677135,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,0,-116.30858834098399,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",25,10,15.766800424592795,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
