trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0035, 'e': 1.0}",20,0,-170.6053101838959,"{0: 8, 1: 5, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.0035, 'e': 0.9965061178604149}",20,0,-49.04932423134139,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.0035, 'e': 0.9930244429332351}",30,0,-149.7749947028974,"{0: 19, 1: 0, 2: 7, 3: 3, 4: 1}",0
4,False,"{'a': 0.0035, 'e': 0.9895549325678993}",20,0,-118.1310149262318,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.0035, 'e': 0.9860975442628619}",30,0,-95.37410631154643,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
6,False,"{'a': 0.0035, 'e': 0.9826522356650732}",30,0,-155.5153473709572,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",1
7,False,"{'a': 0.0035, 'e': 0.9792189645694596}",30,0,-128.08236592870878,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.0035, 'e': 0.9757976889184073}",20,11,-13.863976948283614,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.0035, 'e': 0.9723883668012469}",35,0,-233.81353582061445,"{0: 18, 1: 3, 2: 10, 3: 1, 4: 3}",0
10,False,"{'a': 0.0035, 'e': 0.9689909564537397}",20,0,-58.9163460869674,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.0035, 'e': 0.9656054162575665}",25,0,-110.5583483614331,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.0035, 'e': 0.9622317047398176}",25,0,-120.57978169144486,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.0035, 'e': 0.9588697805724845}",25,0,-130.60102618745046,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.0035, 'e': 0.9555196025719545}",25,0,-207.50741670146692,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
15,False,"{'a': 0.0035, 'e': 0.9521811296985049}",30,0,-100.84021729940116,"{0: 16, 1: 4, 2: 10, 3: 0, 4: 0}",0
16,False,"{'a': 0.0035, 'e': 0.9488543210558013}",20,0,-82.06439319821138,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.0035, 'e': 0.9455391358903963}",35,12,-146.33567276836956,"{0: 14, 1: 0, 2: 5, 3: 2, 4: 2}",1
18,False,"{'a': 0.0035, 'e': 0.94223553359123}",20,0,-166.3600712122007,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
19,False,"{'a': 0.0035, 'e': 0.9389434736891332}",35,7,-228.68229573164092,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 4}",1
20,False,"{'a': 0.0035, 'e': 0.9356629158563308}",20,0,-110.39346255801887,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.0035, 'e': 0.9323938199059483}",20,0,-24.81750620769673,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
22,False,"{'a': 0.0035, 'e': 0.9291361457915193}",20,0,-146.54449975264095,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
23,False,"{'a': 0.0035, 'e': 0.9258898536064953}",25,0,-71.33792965155664,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.0035, 'e': 0.9226549035837566}",25,0,-82.68321000544913,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.0035, 'e': 0.9194312560951247}",25,0,-149.70091695904006,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
26,False,"{'a': 0.0035, 'e': 0.9162188716508776}",25,0,-140.51906125752984,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.0035, 'e': 0.9130177108992658}",25,0,-125.97470231975865,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
28,False,"{'a': 0.0035, 'e': 0.90982773462603}",20,0,-48.92478699665114,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
29,False,"{'a': 0.0035, 'e': 0.9066489037539209}",20,0,-100.18678570764644,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
30,False,"{'a': 0.0035, 'e': 0.9034811793422207}",20,0,-64.15772173669272,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
31,False,"{'a': 0.0035, 'e': 0.9003245225862656}",25,8,-75.28099235761646,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
32,False,"{'a': 0.0035, 'e': 0.897178894816971}",20,0,-73.71492495505238,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.0035, 'e': 0.8940442575003572}",25,0,-93.44165184897177,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
34,False,"{'a': 0.0035, 'e': 0.8909205722370781}",20,0,-78.34003683267535,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.0035, 'e': 0.8878078007619501}",25,0,-205.47130784714147,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
36,False,"{'a': 0.0035, 'e': 0.8847059049434836}",25,0,-110.02736231254615,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
