trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,5,-181.71271704839404,"{0: 7, 1: 0, 2: 11, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.89108507141287,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-111.49622679107893,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.13381422348425,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.76216092523306,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,13,-2.790727219453726,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-191.6500824870775,"{0: 15, 1: 4, 2: 15, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.757901836415705,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.39778509627016,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.76972207039785,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.06614636359244,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-18.759403665110213,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.15353294594507,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,14,-47.67540837937901,"{0: 5, 1: 1, 2: 5, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.87773181104717,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.1404479502424,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.69676447308082,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,4,-20.79580883481032,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.70496429433348,"{0: 10, 1: 3, 2: 9, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.37647385755145,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-144.78690538850265,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.12434597434144,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.8703573332597,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-180.49820766323109,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-180.3333758424685,"{0: 10, 1: 0, 2: 5, 3: 3, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.09872920592252,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-171.87241102068694,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-72.01666820305981,"{0: 21, 1: 8, 2: 6, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-189.61076451582716,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-84.96822960229649,"{0: 19, 1: 7, 2: 3, 3: 0, 4: 1}",0
